Name,conv_layers,filters_layer_1,filters_layer_2,filters_layer_3,kernel_size,strides,dense_layers,dense_units_1,dense_units_2,dense_units_3,dropout_rate,batch_size,epoch/epoch,epoch/accuracy,epoch/val_accuracy,epoch/loss,epoch/val_loss,epoch/learning_rate,Accuracy Train,Accuracy Validation,Precision Train,Precision Validation,Recall Train,Recall Validation,F1 Train,F1 Validation
"cl:1, fl1:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",1,32,,,3,2,1,64,,,0.4,32,11,0.7111111283302307,0.3777777850627899,0.5840023159980774,1.4787299633026123,0.0005000000237487,0.4888888888888889,0.3555555555555555,0.4526315789473685,0.4782608695652174,0.5180722891566265,0.3928571428571429,0.4831460674157303,0.4313725490196078
"cl:2, fl1:32, fl2:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",2,32,32.0,,3,2,1,64,,,0.4,32,56,0.855555534362793,0.8666666746139526,0.3388220965862274,0.3173140287399292,6.25000029685e-05,0.7944444444444444,0.8444444444444444,0.7090909090909091,0.8387096774193549,0.9397590361445785,0.9285714285714286,0.8082901554404145,0.8813559322033898
"cl:3, fl1:32, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,32.0,3,2,1,64,,,0.4,32,41,0.9777777791023254,0.9333333373069764,0.0966177731752395,0.2205582112073898,6.25000029685e-05,0.8777777777777778,0.9111111111111112,0.8080808080808081,0.9,0.963855421686747,0.9642857142857144,0.8791208791208791,0.9310344827586208
"cl:3, fl1:16, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,16.0,16.0,3,2,1,64,,,0.4,32,51,0.9555555582046508,0.9333333373069764,0.1209750473499298,0.2543252408504486,0.0002500000118743,0.85,0.9111111111111112,0.7916666666666666,0.9,0.9156626506024096,0.9642857142857144,0.8491620111731844,0.9310344827586208
"cl:3, fl1:16, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,16.0,32.0,3,2,1,64,,,0.4,32,53,0.9611111283302308,0.8444444537162781,0.1034780740737915,0.350056916475296,0.0001250000059371,0.9722222222222222,0.9555555555555556,0.9534883720930232,0.9642857142857144,0.9879518072289156,0.9642857142857144,0.970414201183432,0.9642857142857144
"cl:3, fl1:16, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,16.0,64.0,3,2,1,64,,,0.4,32,50,0.9833333492279052,0.8444444537162781,0.0552539229393005,0.4659506380558014,0.0005000000237487,0.9722222222222222,0.9555555555555556,0.9875,0.9642857142857144,0.9518072289156626,0.9642857142857144,0.9693251533742332,0.9642857142857144
"cl:3, fl1:16, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,32.0,16.0,3,2,1,64,,,0.4,32,73,0.9888888597488404,0.9333333373069764,0.0705106109380722,0.2522962391376495,3.12500014842e-05,0.9944444444444444,0.9333333333333332,1.0,0.9629629629629628,0.9879518072289156,0.9285714285714286,0.993939393939394,0.9454545454545454
"cl:3, fl1:16, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,32.0,32.0,3,2,1,64,,,0.4,32,32,0.9777777791023254,0.6222222447395325,0.121126040816307,0.8225638270378113,0.0002500000118743,0.6777777777777778,0.8222222222222222,0.6436781609195402,0.8846153846153846,0.6746987951807228,0.8214285714285714,0.6588235294117647,0.8518518518518519
"cl:3, fl1:16, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,32.0,64.0,3,2,1,64,,,0.4,32,30,0.9444444179534912,0.7111111283302307,0.152924582362175,0.5723035335540771,0.0002500000118743,0.7444444444444445,0.9111111111111112,0.6989247311827957,0.9615384615384616,0.7831325301204819,0.8928571428571429,0.7386363636363636,0.925925925925926
"cl:3, fl1:16, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,64.0,16.0,3,2,1,64,,,0.4,32,24,0.9555555582046508,0.644444465637207,0.1954710632562637,0.6111993789672852,0.0002500000118743,0.7055555555555556,0.8666666666666667,0.6530612244897959,0.9230769230769232,0.7710843373493976,0.8571428571428571,0.7071823204419889,0.8888888888888888
"cl:3, fl1:16, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,64.0,32.0,3,2,1,64,,,0.4,32,28,0.9555555582046508,0.800000011920929,0.1244492530822754,0.4626841247081756,0.0005000000237487,0.7388888888888889,0.8444444444444444,0.6730769230769231,0.8620689655172413,0.8433734939759037,0.8928571428571429,0.7486631016042781,0.8771929824561403
"cl:3, fl1:16, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,16,64.0,64.0,3,2,1,64,,,0.4,32,39,0.9444444179534912,0.6888889074325562,0.1241916865110397,0.7413125038146973,0.0002500000118743,0.7166666666666667,0.8444444444444444,0.6904761904761905,0.92,0.6987951807228916,0.8214285714285714,0.6946107784431138,0.8679245283018868
"cl:3, fl1:32, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,16.0,16.0,3,2,1,64,,,0.4,32,64,0.9555555582046508,0.8888888955116272,0.161559522151947,0.2727196514606476,6.25000029685e-05,0.85,0.8666666666666667,0.7545454545454545,0.8666666666666667,1.0,0.9285714285714286,0.8601036269430051,0.896551724137931
"cl:3, fl1:32, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,16.0,32.0,3,2,1,64,,,0.4,32,29,0.9555555582046508,0.7777777910232544,0.1544230729341507,0.5263067483901978,0.0002500000118743,0.6555555555555556,0.8,0.5755395683453237,0.7714285714285715,0.963855421686747,0.9642857142857144,0.7207207207207207,0.8571428571428571
"cl:3, fl1:32, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,16.0,64.0,3,2,1,64,,,0.4,32,19,0.9388889074325562,0.7111111283302307,0.1558580100536346,0.5820589065551758,0.0005000000237487,0.6222222222222222,0.7555555555555555,0.5524475524475524,0.7741935483870968,0.9518072289156626,0.8571428571428571,0.6991150442477876,0.8135593220338984
"cl:3, fl1:32, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,16.0,3,2,1,64,,,0.4,32,43,0.9666666388511658,0.8888888955116272,0.0862661451101303,0.3009354770183563,0.0001250000059371,0.9555555555555556,0.9111111111111112,1.0,0.9615384615384616,0.9036144578313252,0.8928571428571429,0.9493670886075948,0.925925925925926
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,3,2,1,64,,,0.4,32,75,0.9888888597488404,0.9555555582046508,0.0912027359008789,0.2043825387954712,7.812500371e-06,0.9777777777777776,0.9555555555555556,0.9647058823529412,0.9642857142857144,0.9879518072289156,0.9642857142857144,0.9761904761904762,0.9642857142857144
"cl:3, fl1:32, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,64.0,16.0,3,2,1,64,,,0.4,32,38,0.9722222089767456,0.9555555582046508,0.0946269258856773,0.3003487586975097,0.0002500000118743,0.9,0.9111111111111112,0.8735632183908046,0.9285714285714286,0.9156626506024096,0.9285714285714286,0.8941176470588236,0.9285714285714286
"cl:3, fl1:32, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,64.0,32.0,3,2,1,64,,,0.4,32,68,0.9777777791023254,0.9555555582046508,0.0919748619198799,0.2446419596672058,3.12500014842e-05,0.9944444444444444,0.9333333333333332,1.0,0.9310344827586208,0.9879518072289156,0.9642857142857144,0.993939393939394,0.9473684210526316
"cl:3, fl1:32, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,64.0,64.0,3,2,1,64,,,0.4,32,54,0.9888888597488404,0.8666666746139526,0.0758605524897575,0.2945742011070251,6.25000029685e-05,0.9666666666666668,0.9333333333333332,0.9529411764705882,0.9310344827586208,0.9759036144578314,0.9642857142857144,0.9642857142857144,0.9473684210526316
"cl:3, fl1:64, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,16.0,16.0,3,2,1,64,,,0.4,32,32,0.949999988079071,0.7777777910232544,0.1856272965669632,0.5236035585403442,0.0002500000118743,0.7166666666666667,0.8222222222222222,0.6230769230769231,0.7941176470588235,0.9759036144578314,0.9642857142857144,0.7605633802816901,0.8709677419354839
"cl:3, fl1:64, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,16.0,32.0,3,2,1,64,,,0.4,32,11,0.8888888955116272,0.6222222447395325,0.2971347272396087,0.8256276249885559,0.0005000000237487,0.5666666666666667,0.4666666666666667,0.6086956521739131,0.75,0.1686746987951807,0.2142857142857142,0.2641509433962264,0.3333333333333333
"cl:3, fl1:64, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,16.0,64.0,3,2,1,64,,,0.4,32,10,0.894444465637207,0.6222222447395325,0.2302412837743759,1.3814070224761963,0.0005000000237487,0.5222222222222223,0.6888888888888889,0.4896551724137931,0.7333333333333333,0.8554216867469879,0.7857142857142857,0.6228070175438597,0.7586206896551724
"cl:3, fl1:64, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,16.0,3,2,1,64,,,0.4,32,15,0.9666666388511658,0.6222222447395325,0.2041990458965301,1.1217503547668457,0.0005000000237487,0.5611111111111111,0.7111111111111111,0.5131578947368421,0.7272727272727273,0.9397590361445785,0.8571428571428571,0.6638297872340425,0.7868852459016393
"cl:3, fl1:64, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,32.0,3,2,1,64,,,0.4,32,20,0.9444444179534912,0.6888889074325562,0.1292974650859832,0.5815268754959106,0.0005000000237487,0.4722222222222222,0.6222222222222222,0.4662921348314606,0.6222222222222222,1.0,1.0,0.6360153256704981,0.7671232876712328
"cl:3, fl1:64, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,64.0,3,2,1,64,,,0.4,32,10,0.9722222089767456,0.6222222447395325,0.2041412740945816,1.216074824333191,0.0005000000237487,0.4888888888888889,0.6888888888888889,0.4742857142857143,0.675,1.0,0.9642857142857144,0.6434108527131783,0.7941176470588235
"cl:3, fl1:64, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,16.0,3,2,1,64,,,0.4,32,19,0.9611111283302308,0.6222222447395325,0.1553094387054443,1.085064172744751,0.0005000000237487,0.7277777777777777,0.8666666666666667,0.6491228070175439,0.8666666666666667,0.891566265060241,0.9285714285714286,0.751269035532995,0.896551724137931
"cl:3, fl1:64, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,32.0,3,2,1,64,,,0.4,32,10,0.905555546283722,0.6222222447395325,0.2684796452522278,1.1300173997879028,0.0005000000237487,0.5777777777777777,0.7777777777777778,0.5315315315315315,0.8461538461538461,0.7108433734939759,0.7857142857142857,0.6082474226804123,0.8148148148148148
"cl:3, fl1:64, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,64.0,3,2,1,64,,,0.4,32,11,0.949999988079071,0.6222222447395325,0.1666661947965622,1.6888846158981323,0.0005000000237487,0.5277777777777778,0.6888888888888889,0.4930555555555556,0.7333333333333333,0.8554216867469879,0.7857142857142857,0.6255506607929515,0.7586206896551724
"cl:3, fl1:32, fl2:32, fl3:64, ks:5, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,5,2,1,64,,,0.4,32,10,0.949999988079071,0.6222222447395325,0.1517493426799774,3.777411460876465,0.0005000000237487,0.6166666666666667,0.6888888888888889,0.609375,0.8888888888888888,0.4698795180722892,0.5714285714285714,0.5306122448979592,0.6956521739130435
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:1, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,3,1,1,64,,,0.4,32,10,0.905555546283722,0.6222222447395325,0.2692602574825287,1.0099456310272217,0.0005000000237487,0.5555555555555556,0.7111111111111111,0.5116279069767442,0.7419354838709677,0.7951807228915663,0.8214285714285714,0.6226415094339622,0.7796610169491526
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:3, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,3,3,1,64,,,0.4,32,45,1.0,0.9111111164093018,0.0245382972061634,0.2356516569852829,0.0001250000059371,1.0,0.9111111111111112,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9285714285714286
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:2, du1:64, du2:64, dr:0.4, bs:32",3,32,32.0,64.0,3,2,2,64,64.0,,0.4,32,15,0.9333333373069764,0.6222222447395325,0.1790809631347656,1.138860106468201,0.0005000000237487,0.5222222222222223,0.6888888888888889,0.4904458598726114,0.7058823529411765,0.927710843373494,0.8571428571428571,0.6416666666666667,0.7741935483870968
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:3, du1:64, du2:64, du3:64, dr:0.4, bs:32",3,32,32.0,64.0,3,2,3,64,64.0,64.0,0.4,32,15,0.8999999761581421,0.6222222447395325,0.2775138020515442,1.2759288549423218,0.0005000000237487,0.65,0.7555555555555555,0.5847457627118644,0.7931034482758621,0.8313253012048193,0.8214285714285714,0.6865671641791045,0.8070175438596491
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:32, dr:0.4, bs:32",3,32,32.0,64.0,3,2,1,32,,,0.4,32,12,0.855555534362793,0.644444465637207,0.3669357299804687,0.7842704653739929,0.0005000000237487,0.5555555555555556,0.7333333333333333,0.5104895104895105,0.75,0.8795180722891566,0.8571428571428571,0.6460176991150443,0.8
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:128, dr:0.4, bs:32",3,32,32.0,64.0,3,2,1,128,,,0.4,32,10,0.9444444179534912,0.6666666865348816,0.1975522637367248,0.6491879820823669,0.0005000000237487,0.4722222222222222,0.6222222222222222,0.4662921348314606,0.627906976744186,1.0,0.9642857142857144,0.6360153256704981,0.7605633802816901
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.3, bs:32",3,32,32.0,64.0,3,2,1,64,,,0.3,32,32,0.9888888597488404,0.8444444537162781,0.0493067950010299,0.3711938560009002,0.0005000000237487,0.8777777777777778,0.9111111111111112,0.8426966292134831,0.9285714285714286,0.9036144578313252,0.9285714285714286,0.872093023255814,0.9285714285714286
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.5, bs:32",3,32,32.0,64.0,3,2,1,64,,,0.5,32,17,0.9555555582046508,0.7333333492279053,0.1924934387207031,0.6538172364234924,0.0005000000237487,0.5055555555555555,0.6,0.4825581395348837,0.6190476190476191,1.0,0.9285714285714286,0.6509803921568628,0.7428571428571429
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:16",3,32,32.0,64.0,3,2,1,64,,,0.4,16,26,0.9611111283302308,0.8444444537162781,0.1246659681200981,0.4695663750171661,0.0005000000237487,0.9111111111111112,0.9777777777777776,0.9135802469135802,1.0,0.891566265060241,0.9642857142857144,0.902439024390244,0.9818181818181818
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:64",3,32,32.0,64.0,3,2,1,64,,,0.4,64,10,0.9222221970558168,0.6222222447395325,0.2728171050548553,1.570308804512024,0.0005000000237487,0.7611111111111111,0.7777777777777778,0.7127659574468085,0.875,0.8072289156626506,0.75,0.7570621468926554,0.8076923076923077
